Word,Count
the,6764
a,5359
be,3685
form,3016
in,2987
to,2233
{@link,2197
*,2101
,1964
value,1842
<p>This,1842
or,1839
(in,1492
is,1483
attribute,1438
theme,1438
reference,1438
<p>Must,1406
can,1206
found,1130
of,1116
@see,1098
offset,1096
where,1096
symbol,1096
@attr,1096
attribute's,1096
name,1096
<tr><td><code>{@link,1096
array,1096
<colgroup,816
\align="\left"\\,816
/>,816
\value,\,806
resource,780
this,750
containing,747
may,747
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\)\,746
\"\<code>@[<i>package</i>:]<i>type</i>:<i>name</i></code>"\)\,746
type,746
also,746
another,692
\"\<code>?[<i>package</i>:][<i>type</i>:]<i>name</i></code>"\\,692
\resource,\,692
\"\<code>@[+][<i>package</i>:]<i>type</i>:<i>name</i></code>"\\,692
as,535
such,534
with,497
point,424
floating,424
which,389
number,388
appended,386
on,368
unit,363
Available,362
px,362
(millimeters),362
sp,362
\(inches),\,362
(density-independent,362
are:,362
dimension,362
dp,362
preferred,362
\(pixels),\,362
\size),\,362
font,362
\pixels),\,362
pixels,362
(scaled,362
units,362
mm,362
\"\<code>14.5sp</code>"\\,362
based,362
following,308
</table>,308
<table>,308
<p>May,292
#AppCompatTheme},230
one,201
values.</p>,200
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,200
constant,200
either,156
\"\<code>#<i>aarrggbb</i></code>"\\,140
\"\<code>#<i>rgb</i></code>"\,\,140
\"\<code>#<i>rrggbb</i></code>"\,\,140
color,140
\"\<code>#<i>argb</i></code>"\,\,140
boolean,135
\"\<code>true</code>"\\,132
\"\<code>false</code>"\\,132
#ConstraintSet},128
that,114
by,112
used,110
Attributes,110
attributes:</p>,108
<tr><th>Attribute</th><th>Description</th></tr>,108
<p>Includes,108
#ConstraintLayout_Layout},98
<tr><td><code>parent</code></td><td>0</td><td></td></tr>,78
for,68
using,64
'\\;',64
characters,64
character,64
unicode,64
'\\n',64
string,64
escape,64
'\\uxxxx',64
#ActionBar},58
#Toolbar},58
suffix,48
%,48
an,47
\"\<code>100</code>"\\,46
integer,46
it,41
more,40
'|'),40
from,40
(separated,40
not,38
\"\<code>1.2</code>"\\,38
NOT,37
DO,37
generated,37
MODIFY,37
was,35
automatically,35
This,34
#MenuItem},34
class,34
modified,34
data,34
should,34
AUTO-GENERATED,34
It,34
hand,34
