File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest\debug\com\dsespace\rvwg\test\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\debug\com\dsespace\rvwg\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\release\com\dsespace\rvwg\BuildConfig.java,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\app\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\R.java,14,6,4,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\rule\R.java,14,6,4,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\com\dsespace\rvwg\test\R.java,17,8,5,0,3,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\compat\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\constraint\R.java,187,179,178,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\coreui\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\coreutils\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\customtabs\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\design\R.java,1730,1722,1761,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\fragment\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\graphics\drawable\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\graphics\drawable\animated\R.java,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\debug\android\support\mediacompat\R.java,11,3,2,0,2,0,6,32,6,32
