Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,44,31590,11286,10946,21,165,1,20139,95321,213,1115
E:\Development\Android\RvWG2,44,31590,11286,10946,21,165,1,20139,95321,213,1115
E:\Development\Android\RvWG2\app,44,31590,11286,10946,21,165,1,20139,95321,213,1115
E:\Development\Android\RvWG2\app\build,37,31098,10996,10721,0,79,0,20023,94765,213,1115
E:\Development\Android\RvWG2\app\build\generated,37,31098,10996,10721,0,79,0,20023,94765,213,1115
E:\Development\Android\RvWG2\app\build\generated\source,37,31098,10996,10721,0,79,0,20023,94765,213,1115
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig,3,42,27,24,0,6,0,9,27,9,27
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest\debug,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest\debug\com,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest\debug\com\dsespace,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest\debug\com\dsespace\rvwg,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\androidTest\debug\com\dsespace\rvwg\test,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\debug,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\debug\com,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\debug\com\dsespace,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\debug\com\dsespace\rvwg,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\release,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\release\com,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\release\com\dsespace,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\buildConfig\release\com\dsespace\rvwg,1,14,9,8,0,2,0,3,9,3,9
E:\Development\Android\RvWG2\app\build\generated\source\r,34,31056,10969,10697,0,73,0,20014,94738,204,1088
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest,6,78,29,19,0,13,0,36,192,36,192
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug,6,78,29,19,0,13,0,36,192,36,192
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android,5,61,21,14,0,10,0,30,160,30,160
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\app,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support,4,50,18,12,0,8,0,24,128,24,128
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test,4,50,18,12,0,8,0,24,128,24,128
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\espresso,2,25,9,6,0,4,0,12,64,12,64
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\espresso\idling,1,11,3,2,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\android\support\test\rule,1,14,6,4,0,2,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\com,1,17,8,5,0,3,0,6,32,6,32
E:\Development\Android\RvWG2\app\build\generated\source\r\androidTest\debug\com\dsespace,1,17,8,5,0,3,0,6,32,6,32
